t_total_arr    x_arr    y_arr    z_arr    Theta_arr    Phi_arr    Psi_arr    FlaperonL_arr    HTL_arr    Rudder_arr    PLA_arr    Aoa_arr    Beta_arr    U_arr    V_arr    W_arr    P_arr    Q_arr    R_arr    V_inf_arr    Gamma_deg_arr    Track_deg_arr    P_dot_arr    Q_dot_arr    R_dot_arr    V_inf_dot_arr    Alpha_dot_arr    Beta_dot_arr    h_dot_arr    x_dot_arr    y_dot_arr    z_dot_arr    Phi_dot_arr    Theta_dot_arr    Psi_dot_arr    U_dot_arr    V_dot_arr    W_dot_arr    Nz_arr    Ny_arr    
0.1000    4.9423    -0.7576    -1001.8630    5.2269    62.9642    2.1697    0.4846    -10.9993    -0.2880    176.9609    10.1315    0.6494    49.2170    0.5667    8.7948    -0.0299    0.3359    0.1715    49.9998    -0.0000    -6.5456    -0.0009    -0.0000    0.0010    -0.0016    0.0000    -0.0000    -0.0000    49.6739    -5.6996    0.0000    -0.0001    -0.0001    0.3787    -0.0019    -0.0022    0.0019    2.1394    0.0000    
0.2000    9.9097    -1.3276    -1001.8630    5.2262    62.9640    4.3397    0.4846    -10.9993    -0.2880    176.9609    10.1316    0.6486    49.2169    0.5660    8.7948    -0.0298    0.3359    0.1716    49.9997    -0.0000    -4.3759    -0.0009    0.0000    0.0010    -0.0014    0.0000    -0.0001    -0.0000    49.8539    -3.8150    0.0000    -0.0000    -0.0002    0.3788    -0.0016    -0.0066    0.0017    2.1394    0.0000    
0.3000    14.8950    -1.7091    -1001.8630    5.2251    62.9638    6.5100    0.4846    -10.9993    -0.2880    176.9609    10.1316    0.6473    49.2167    0.5648    8.7948    -0.0297    0.3359    0.1717    49.9995    -0.0001    -2.2062    -0.0009    0.0000    0.0001    -0.0014    0.0000    -0.0002    -0.0000    49.9625    -1.9248    0.0000    0.0000    -0.0003    0.3788    -0.0016    -0.0109    0.0018    2.1394    0.0000    
0.4000    19.8913    -1.9016    -1001.8630    5.2235    62.9640    8.6805    0.4846    -10.9993    -0.2880    176.9609    10.1316    0.6456    49.2166    0.5634    8.7948    -0.0296    0.3359    0.1717    49.9994    -0.0001    -0.0366    -0.0009    0.0000    0.0001    -0.0014    0.0000    -0.0002    -0.0001    49.9994    -0.0319    0.0001    0.0001    -0.0003    0.3788    -0.0016    -0.0109    0.0018    2.1394    0.0000    
0.5000    24.8912    -1.9048    -1001.8630    5.2219    62.9644    10.8510    0.4846    -10.9993    -0.2880    176.9609    10.1317    0.6439    49.2165    0.5619    8.7949    -0.0296    0.3359    0.1717    49.9993    -0.0002    2.1331    -0.0009    0.0000    0.0001    -0.0014    0.0000    -0.0002    -0.0002    49.9646    1.8610    0.0002    0.0002    -0.0003    0.3788    -0.0016    -0.0106    0.0018    2.1394    0.0000    
0.6000    29.8877    -1.7187    -1001.8631    5.2201    62.9657    13.0215    0.4846    -10.9993    -0.2880    176.9609    10.1317    0.6424    49.2163    0.5605    8.7948    -0.0295    0.3359    0.1717    49.9991    -0.0003    4.3028    -0.0009    0.0000    0.0001    -0.0014    0.0000    -0.0002    -0.0003    49.8582    3.7513    0.0003    0.0002    -0.0003    0.3788    -0.0016    -0.0080    0.0016    2.1394    0.0001    
0.7000    34.8735    -1.3436    -1001.8631    5.2187    62.9668    15.1919    0.4846    -10.9993    -0.2880    176.9609    10.1317    0.6411    49.2162    0.5595    8.7948    -0.0294    0.3359    0.1716    49.9990    -0.0005    6.4725    -0.0009    0.0001    -0.0008    -0.0013    0.0000    -0.0001    -0.0005    49.6803    5.6362    0.0005    0.0003    -0.0002    0.3788    -0.0015    -0.0035    0.0013    2.1394    0.0001    
0.8000    39.8415    -0.7800    -1001.8630    5.2176    62.9682    17.3621    0.4846    -10.9993    -0.2880    176.9609    10.1317    0.6404    49.2161    0.5588    8.7948    -0.0295    0.3359    0.1716    49.9988    -0.0008    8.6422    0.0022    0.0000    -0.0008    -0.0013    0.0000    -0.0000    -0.0007    49.4311    7.5130    0.0007    0.0002    -0.0002    0.3787    -0.0015    -0.0002    0.0010    2.1393    0.0001    
0.9000    44.7846    -0.0287    -1001.8630    5.2168    62.9695    19.5321    0.4846    -10.9993    -0.2880    176.9609    10.1316    0.6402    49.2160    0.5586    8.7947    -0.0295    0.3359    0.1715    49.9987    -0.0011    10.8120    -0.0009    0.0001    -0.0008    -0.0012    0.0000    0.0001    -0.0009    49.1111    9.3791    0.0009    0.0002    -0.0001    0.3787    -0.0014    0.0044    0.0011    2.1393    0.0001    
1.0000    49.6957    0.9092    -1001.8629    5.2164    62.9707    21.7019    0.4846    -10.9993    -0.2880    176.9609    10.1316    0.6404    49.2159    0.5588    8.7947    -0.0296    0.3359    0.1714    49.9986    -0.0015    12.9818    0.0023    0.0000    0.0001    -0.0011    0.0000    0.0002    -0.0013    48.7207    11.2317    0.0013    0.0001    -0.0000    0.3787    -0.0014    0.0077    0.0015    2.1393    0.0001    
